title,data_cid,snippet,gps_coordinates/latitude,gps_coordinates/longitude,address,sponsored,extensions/0,extensions/1,extensions/2,extensions/3,rating,reviews,position,description,link,unclaimed,place_id,opening_hours/per_day/0/name,opening_hours/per_day/0/value,opening_hours/per_day/1/name,opening_hours/per_day/1/value,opening_hours/per_day/2/name,opening_hours/per_day/2/value,opening_hours/per_day/3/name,opening_hours/per_day/3/value,opening_hours/per_day/4/name,opening_hours/per_day/4/value,opening_hours/per_day/5/name,opening_hours/per_day/5/value,opening_hours/per_day/6/name,opening_hours/per_day/6/value,phone,category,opening_hours/per_day/7/name,opening_hours/per_day/7/value,opening_hours/per_day/8/name,opening_hours/per_day/8/value,opening_hours/per_day/9/name,opening_hours/per_day/9/value,opening_hours/per_day/10/name,opening_hours/per_day/10/value,opening_hours/per_day/11/name,opening_hours/per_day/11/value,opening_hours/per_day/12/name,opening_hours/per_day/12/value,opening_hours/per_day/13/name,opening_hours/per_day/13/value,opening_hours/per_day/14/name,opening_hours/per_day/14/value,opening_hours/per_day/15/name,opening_hours/per_day/15/value,opening_hours/per_day/16/name,opening_hours/per_day/16/value,opening_hours/per_day/17/name,opening_hours/per_day/17/value,opening_hours/per_day/18/name,opening_hours/per_day/18/value,opening_hours/per_day/19/name,opening_hours/per_day/19/value,opening_hours/per_day/20/name,opening_hours/per_day/20/value
City Park,11338709453972087008,,42.010757,21.4158461,"Skopje 1000, Північна Македонія",false,4.6  (103),Park,"Skopje, North Macedonia",,4.6,103,11,,,true,ChIJGxkgfVcUVBMR4KBeXywwW50,середа,Відкрито 24 години,четвер,Відкрито 24 години,пʼятниця,Відкрито 24 години,субота,Відкрито 24 години,неділя,Відкрито 24 години,понеділок,Відкрито 24 години,вівторок,Відкрито 24 години,,"Парк в Скоп'є, Македонія (Колишня Югославська Республіка Македонія)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
City Park,7508194017656591440,,41.020055899999996,21.3400224,"City Promenade, Bitola 7000, North Macedonia",false,4.6  (654),Park,"Bitola, North Macedonia",,4.6,654,12,,,true,ChIJCf3uY-MkVxMRUFQiz612Mmg,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,Monday,Open 24 hours,Tuesday,Open 24 hours,,Park in the Republic of Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gradski Park Fountain,10019138832034783274,,42.0030441,21.4227266,"Skopje 1000, North Macedonia",false,4.7  (115),Park,"Skopje, North Macedonia",,4.7,115,13,,,true,ChIJhSFhCVIUVBMRKmDBHq8hC4s,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,Monday,Open 24 hours,Tuesday,Open 24 hours,,"Park in Skopje, North Macedonia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urban Square Park,6234900644993084249,,41.995027799999995,21.392158,"Nereshka 6, Skopje 1000, North Macedonia",false,4.5  (32),Park,"Skopje, North Macedonia",,4.5,32,14,,,true,ChIJsTLCFhIUVBMRWauqShrRhlY,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,Monday,Open 24 hours,Tuesday,Open 24 hours,,"Park in Skopje, North Macedonia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Park Karpoš 3,2664378615200724355,,42.005089999999996,21.3955177,"Skopje 1000, North Macedonia",false,4.4  (102),Park,"Skopje, North Macedonia",Open now,4.4,102,15,,,true,ChIJe-cj8G4UVBMRg7Uv6jvG-SQ,,,,,,,,,,,,,,,,"Park in Skopje, North Macedonia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Park 8mi Noemvri,10669412056001525496,,41.744968,22.191014199999998,"Shtip 2000, North Macedonia",false,4.4  (258),Park,"Shtip, North Macedonia",,4.4,258,16,,,true,ChIJY365pirdVRMR-LY9aLxdEZQ,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,Monday,Open 24 hours,Tuesday,Open 24 hours,,"Park in Štip, North Macedonia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
City Park Gostivar,13096680391079701163,,41.792839099999995,20.9100482,"Gostivar 1230, North Macedonia",false,4.6  (96),Park,"Gostivar, North Macedonia",,4.6,96,17,,,true,ChIJi8P9HWRXURMRqyohL23BwLU,,,,,,,,,,,,,,,,"Park in Gostivar, North Macedonia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Park „Gazi Baba“,12424560090623602062,,42.008394599999995,21.454344199999998,"Skopje 1000, Північна Македонія",false,4.4  (460),City park,"Skopje, North Macedonia",Closed ⋅ Opens 8AM Thu,4.4,460,18,,http://www.gazibaba.gov.mk/,true,ChIJGfqp4HQVVBMRjm0dBJPnbKw,середа,08:00–16:00,четвер,08:00–16:00,пʼятниця,08:00–16:00,субота,Зачинено,неділя,Зачинено,понеділок,08:00–16:00,вівторок,08:00–16:00,+389 2 322 6655,"Міський парк в Скоп'є, Македонія (Колишня Югославська Республіка Македонія)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Letnikovec Micurin,1573173387120942967,,41.987083999999996,21.4480242,"Anastas Mitrev 25, Skopje 1000, 1000, North Macedonia",false,5.0  (1),Park,North Macedonia,,5,1,19,,,true,ChIJb_LwZF0VVBMRdx9xTdwI1RU,,,,,,,,,,,,,,,,"Park in Skopje, North Macedonia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Froteks,5626402800926582264,,41.9893159,21.506749199999998,"Skopje 1000, North Macedonia",false,3.7  (11),Park,"Skopje, North Macedonia",Closed ⋅ Opens 8AM Thu,3.7,11,20,,,true,ChIJ-ynM504-VBMR-OV9mIn_FE4,Wednesday,8am–5pm,Thursday,8am–5pm,Friday,8am–5pm,Saturday,Closed,Sunday,Closed,Monday,8am–5pm,Tuesday,8am–5pm,,"Park in Skopje, North Macedonia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
