Title,data_cid,GPS-Latitude,GPS-Longitude,Class,Description,Rating,Num. Reviews,Overview,PlaceID
Lake Matka,1.12E+19,41.952238,21.298778,Lake,"Man-made lake in a scenic canyon, stocked for fishing & with an underwater cave.",4.6,100,,ChIJkeKVZzAQVBMR_CJRndgWDpw
Matka Lake,2.08E+18,41.9404735,21.3055553,Lake,,4.8,280,,ChIJo3wYvz0QVBMRsESlNN1S6Bw
Large Lake,1.11E+19,40.9678101,21.2043917,Lake,,5,14,,ChIJGwyhGGkxVxMR5AqkhA0Ik5k
Treska Lake,1.61E+19,41.9823196,21.3120761,Lake,,4.4,31,,ChIJq_iHtJMRVBMR-DwZXFYgkt8
Berovo lake,1.15E+19,41.6689922,22.9051355,Lake,,4.6,80,"DescriptionBerovo Lake is a freshwater lake located in the Republic of North Macedonia.
The lake lies within 7 km of the Macedonia-Bulgaria Border, near the town of Berovo. The lake is surrounded by evergreen and deciduous type species of forests. Many locals go swimming, fishing, or sailing in the lake. ",ChIJjVTTLlMRqhQR0m4VUH5Rk58
Lake Mantovo,1.00E+19,41.5686896,22.3442083,Lake,,4.5,36,,ChIJj-rFbRDiVRMR91b8HciFa4s
Krushevo Lake,1.44E+19,41.3788139,21.2431427,Lake,,4.9,37,,ChIJMQUnNR_PVhMRklwdjEuh_sc
Black Lake,4.52E+18,41.9258982,20.7930802,Lake,,5,8,,ChIJhT9jWELhUxMRMyt1IQv-uj4
Belovodica Lake,1.03E+19,41.3352936,21.6971873,Lake,,4.4,5,,ChIJQ0C8HkTyVhMRDdN6FTNgeI8
Lake Vodocha,1.83E+19,41.4176564,22.5587786,Lake,,4.7,34,,ChIJs5GfqLsDVhMRWY1qlun_jP0
Bogovinje Lake,1.04E+18,41.9503983,20.7923352,Lake,,4.6,9,DescriptionBogovinje Lake is situated in the Bogovinje municipality in the western part of the Republic of North Macedonia. It is one of 39 lakes on Šar mountains and like others boosts tourism in the local area. ,ChIJAQV4rLHmUxMRjG8N7WMuag4
Lake Paljurci,6.06E+18,41.205763,22.6235896,Lake,,4.5,31,,ChIJD2ecPwHgqRQRzWCxyIb-E1Q
Smolare Waterfall,8.59E+18,41.3662782,22.8996196,Waterfall,North Macedonia,4.8,420,"DescriptionSmolare Falls is the tallest waterfall in the Republic of North Macedonia, falling from a height of 39.5 metres. It is located above the village of Smolare in the Municipality of Novo Selo in the southeastern region of the country. ",ChIJzYWqNlHxqRQRApV5XBeCLnc
Koleshino Waterfall,1.29E+19,41.3695082,22.8068927,Waterfall,North Macedonia,4.8,325,"DescriptionKoleshino Falls is located above the village of Kolešino in the Municipality of Novo Selo in the southeastern region of North Macedonia.
Flowing from the Baba River, the waterfall is found at an elevation of 610 metres on the Mount Belasica. ",ChIJZflwS3T6qRQRO4fxSFask7I
Duf Waterfall,1.06E+19,41.60272,20.5967327,Waterfall,North Macedonia,4.8,191,DescriptionDuf Falls near the village of Rostuša is located in Mavrovo National Park in the western region of North Macedonia. The waterfall is located near the Saint Jovan Bigorski Monastery ,ChIJ95xJzLVsURMRaXumC9Kmt5I
Korab Waterfall,1.58E+19,41.7624553,20.5335246,Waterfall,North Macedonia,5,5,,ChIJfT5oZ6RvURMRn8UkS4Kcids
Spikovski Waterfall,1.64E+19,41.736104,22.934913,Waterfall,North Macedonia,4.6,29,,ChIJmVOg2sgUqhQR5jeD5Nfm2OM
Cave Alilica,1.51E+19,41.5666138,20.7532295,Tourist attraction,North Macedonia,5,7,,ChIJodmd0IY_URMRjUQtm2Y6ddE
National park Mavrovo,6.37E+18,41.6995671,20.6652778,Tourist attraction,North Macedonia,4.7,2463,"DescriptionThe Mavrovo National Park is the largest of the three national parks of North Macedonia. Located in the west of the country, it spreads over an area of about 780 km² and is characterized by deep canyons, lakes and dense forests that abound with diverse wildlife. ",ChIJo4v4db9pURMRLOrRySJdZlg
Skra Waterfalls,9.66E+18,41.0633379,22.3916525,Waterfall,"??????????? ????, Greece",4.7,734,,ChIJM_xXEFAwVhMRfZhxNdm5C4Y
Babuna,2.83E+18,41.6399694,21.7348364,Mountain,North Macedonia,4.6,8,,ChIJaxZD19GDVhMRUmjRFC6FOSc
Koleshino Waterfall,1.29E+19,41.3811785,22.8150199,Waterfall,North Macedonia,,,"DescriptionKolešino is a village in the municipality of Novo Selo, North Macedonia. ",
Kounoupitsa - Waterfall,7.52E+18,40.9842178,21.8872316,Waterfall,"Aridaia, Greece",4.8,35,,ChIJ1ZKqDburVxMR3yJHkiDQZmg
Gabrovo waterfalls,4.56E+18,41.3755924,22.7889993,Waterfall,North Macedonia,4.3,25,,ChIJCYJT3eL7qRQRyogdS2eKUz8
Edessa Waterfalls,6.64E+18,40.8039983,22.0557123,Waterfall,"Edessa,Greece",4.7,8081,,ChIJS7qnHjG7VxMRVrO4VLNzIVw
Mirusha Waterfalls,1.88E+18,42.5240364,20.6002986,Waterfall,Serbia,4.5,157,"DescriptionThe Mirusha waterfalls are a series of waterfalls found in the Mirusha Park, in central Kosovo. The waterfalls have, over time, created canyons and caves, which are famous throughout the country. The river has carved a 10 kilometres canyon and created 13 lakes with waterfalls between them. ",ChIJm-UsGOwJUxMRezB0-FTMIRo
Araida - Waterfalls,1.64E+19,40.9787524,21.94674,Waterfall,"Aridaia, Greece",4.9,21,,ChIJB1uXOqCrVxMRLqRoqINh8-M
Duf,5.20E+18,41.7483487,20.7781796,Waterfall,North Macedonia,,,"DescriptionDuf is a village in the municipality of Mavrovo and Rostuša, North Macedonia. ",
Lake Gratce,6.86E+18,41.9612055,22.4075398,Lake,"Kocani, North Macedonia",4.3,19,,ChIJm67DT8qRVRMRkjx4XBdyQF8
Edessa Waterfalls Park,2.05E+18,40.8036092,22.0547459,National park,"Edessa, Greece",4.7,1521,,ChIJVWwmnTG7VxMR4LbCNx-HcBw
National park Mavrovo,6.37E+18,41.6995671,20.6652778,National park,North Macedonia,4.7,2463,"DescriptionThe Mavrovo National Park is the largest of the three national parks of North Macedonia. Located in the west of the country, it spreads over an area of about 780 km² and is characterized by deep canyons, lakes and dense forests that abound with diverse wildlife. ",ChIJo4v4db9pURMRLOrRySJdZlg
National Park Pelister,5.11E+18,41.0014546,21.2129616,National park,North Macedonia,4.8,997,"DescriptionPelister National Park is a national park in the Municipality of Bitola, North Macedonia. The park is located in the Baba Mountain massif and covers an area of 171.5 square kilometres. The altitude of the park varies between 927 and 2,601 m above sea level and is filled with exquisite flora and fauna. ",ChIJK3WZavkkVxMR7MWKTKW69UY
"Park ""Woman Warrior""",1.59E+19,41.9937196,21.4337418,Park,"Skopje, North Macedonia",4.4,656,,ChIJw1Qoh7YVVBMRfujv9PcspNw
Skopje City Park,1.54E+19,42.0051725,21.4213658,Park,"Skopje, North Macedonia",4.6,988,,ChIJFbk0gVEUVBMR0CWwYthWDtU
"National Park ""Galichitsa""",1.81E+19,40.9672707,20.8400775,National park,North Macedonia,4.7,2258,,ChIJARg1I1W_UBMRjfX21vnPsvs
Akvatika Park,1.67E+18,41.4008938,22.2264416,Park,North Macedonia,4.9,34,,ChIJvZwZqihtVhMRi3obgYx_NRc
Skopje ZOO,1.06E+19,42.0064932,21.4185538,Park,"Skopje, North Macedonia",4.5,810,,ChIJPaxy_VAUVBMRE2vRYJvot5M
Park Macedonia,1.25E+19,41.9958354,21.4051815,Park,"Skopje, North Macedonia",4.6,181,,ChIJacY2pD8UVBMRAQl5k0pZ7K0
Park,1.25E+19,41.9869511,21.4609653,Park,"Skopje, North Macedonia",4.4,111,,ChIJ5Q8E3ZIVVBMRQgVMwPjDta0
Kapistec Park,1.67E+19,41.9939769,21.4136945,Park,"Skopje, North Macedonia",4.5,202,,ChIJLS3DaTgUVBMRjMvzp32y3uc
City Park,1.13E+19,42.010757,21.4158461,Park,"Skopje, North Macedonia",4.6,103,,ChIJGxkgfVcUVBMR4KBeXywwW50
City Park,7.51E+18,41.0200559,21.3400224,Park,"Bitola, North Macedonia",4.6,654,,ChIJCf3uY-MkVxMRUFQiz612Mmg
Gradski Park Fountain,1.00E+19,42.0030441,21.4227266,Park,"Skopje, North Macedonia",4.7,115,,ChIJhSFhCVIUVBMRKmDBHq8hC4s
Urban Square Park,6.23E+18,41.9950278,21.392158,Park,"Skopje, North Macedonia",4.5,32,,ChIJsTLCFhIUVBMRWauqShrRhlY
Park Karpos 3,2.66E+18,42.00509,21.3955177,Park,"Skopje, North Macedonia",4.4,102,,ChIJe-cj8G4UVBMRg7Uv6jvG-SQ
Park 8mi Noemvri,1.07E+19,41.744968,22.1910142,Park,"Shtip, North Macedonia",4.4,258,,ChIJY365pirdVRMR-LY9aLxdEZQ
City Park Gostivar,1.31E+19,41.7928391,20.9100482,Park,"Gostivar, North Macedonia",4.6,96,,ChIJi8P9HWRXURMRqyohL23BwLU
Park Gazi Baba,1.24E+19,42.0083946,21.4543442,Park,"Skopje, North Macedonia",4.4,460,,ChIJGfqp4HQVVBMRjm0dBJPnbKw
Letnikovec Micurin,1.57E+18,41.987084,21.4480242,Park,North Macedonia,5,1,,ChIJb_LwZF0VVBMRdx9xTdwI1RU
Froteks,5.63E+18,41.9893159,21.5067492,Park,"Skopje, North Macedonia",3.7,11,,ChIJ-ynM504-VBMR-OV9mIn_FE4
